painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,yPos,gridX,gridY,img
1,https://www.twoinchbrush.com/images/painting282.png,A Walk in the Woods,1,1,8,https://www.youtube.com/embed/oh5p5f5_-7A,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",1,1,20,painting282.png
2,https://www.twoinchbrush.com/images/painting283.png,Mt. McKinley,1,2,8,https://www.youtube.com/embed/RInDWhYceLU,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",2,2,20,painting283.png
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#000000', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",1,3,20,painting284.png
4,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,1,4,3,https://www.youtube.com/embed/0pwoixRikn4,"['Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#021E44', '#FFFFFF', '#221B15']",1,4,20,painting285.png
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",3,5,20,painting286.png
6,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,"['Black Gesso', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#000000', '#021E44', '#FFFFFF', '#221B15']",1,6,20,painting287.png
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",4,7,20,painting288.png
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",5,8,20,painting289.png
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",6,9,20,painting290.png
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",7,10,20,painting291.png
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",8,11,20,painting292.png
12,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,1,12,4,https://www.youtube.com/embed/4E35-8x_y04,"['Alizarin Crimson', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#021E44', '#FFFFFF', '#221B15']",2,12,20,painting293.png
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",9,13,20,painting294.png
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",1,14,20,painting269.png
